Item,True,Estimate,AbsError,RelError,Algorithm
81,111,0,111,1.0,MisraGries
14,103,0,103,1.0,MisraGries
3,87,0,87,1.0,MisraGries
94,103,0,103,1.0,MisraGries
35,100,0,100,1.0,MisraGries
31,98,0,98,1.0,MisraGries
28,106,0,106,1.0,MisraGries
17,116,0,116,1.0,MisraGries
13,107,0,107,1.0,MisraGries
86,111,0,111,1.0,MisraGries
69,105,0,105,1.0,MisraGries
11,114,0,114,1.0,MisraGries
75,98,0,98,1.0,MisraGries
54,90,0,90,1.0,MisraGries
4,92,0,92,1.0,MisraGries
27,89,0,89,1.0,MisraGries
29,87,0,87,1.0,MisraGries
64,99,0,99,1.0,MisraGries
77,94,0,94,1.0,MisraGries
71,103,0,103,1.0,MisraGries
25,92,0,92,1.0,MisraGries
91,84,0,84,1.0,MisraGries
83,105,0,105,1.0,MisraGries
89,111,0,111,1.0,MisraGries
53,100,0,100,1.0,MisraGries
57,105,0,105,1.0,MisraGries
0,86,0,86,1.0,MisraGries
97,104,0,104,1.0,MisraGries
20,96,0,96,1.0,MisraGries
43,94,0,94,1.0,MisraGries
19,107,0,107,1.0,MisraGries
48,111,0,111,1.0,MisraGries
12,99,0,99,1.0,MisraGries
45,93,0,93,1.0,MisraGries
44,96,0,96,1.0,MisraGries
33,100,0,100,1.0,MisraGries
5,108,0,108,1.0,MisraGries
93,102,0,102,1.0,MisraGries
58,118,0,118,1.0,MisraGries
68,109,0,109,1.0,MisraGries
15,93,0,93,1.0,MisraGries
10,100,0,100,1.0,MisraGries
70,113,0,113,1.0,MisraGries
37,98,0,98,1.0,MisraGries
80,97,0,97,1.0,MisraGries
79,87,0,87,1.0,MisraGries
46,102,0,102,1.0,MisraGries
73,126,0,126,1.0,MisraGries
24,91,0,91,1.0,MisraGries
90,103,0,103,1.0,MisraGries
8,99,0,99,1.0,MisraGries
84,120,0,120,1.0,MisraGries
98,116,0,116,1.0,MisraGries
47,99,0,99,1.0,MisraGries
26,85,0,85,1.0,MisraGries
85,92,0,92,1.0,MisraGries
34,92,0,92,1.0,MisraGries
87,112,0,112,1.0,MisraGries
82,111,0,111,1.0,MisraGries
9,101,0,101,1.0,MisraGries
21,93,0,93,1.0,MisraGries
59,89,0,89,1.0,MisraGries
88,115,0,115,1.0,MisraGries
41,106,0,106,1.0,MisraGries
99,103,0,103,1.0,MisraGries
7,91,0,91,1.0,MisraGries
40,107,0,107,1.0,MisraGries
51,92,0,92,1.0,MisraGries
72,99,0,99,1.0,MisraGries
63,97,0,97,1.0,MisraGries
50,96,0,96,1.0,MisraGries
18,97,0,97,1.0,MisraGries
95,98,0,98,1.0,MisraGries
74,91,0,91,1.0,MisraGries
65,84,0,84,1.0,MisraGries
96,95,0,95,1.0,MisraGries
6,103,0,103,1.0,MisraGries
76,100,0,100,1.0,MisraGries
49,102,0,102,1.0,MisraGries
67,96,0,96,1.0,MisraGries
32,81,0,81,1.0,MisraGries
1,90,0,90,1.0,MisraGries
92,99,0,99,1.0,MisraGries
55,88,0,88,1.0,MisraGries
22,106,0,106,1.0,MisraGries
38,115,0,115,1.0,MisraGries
62,111,0,111,1.0,MisraGries
2,81,0,81,1.0,MisraGries
39,92,0,92,1.0,MisraGries
30,100,0,100,1.0,MisraGries
16,100,0,100,1.0,MisraGries
60,115,0,115,1.0,MisraGries
56,103,0,103,1.0,MisraGries
66,98,0,98,1.0,MisraGries
42,96,0,96,1.0,MisraGries
52,101,0,101,1.0,MisraGries
23,89,0,89,1.0,MisraGries
61,93,0,93,1.0,MisraGries
36,103,0,103,1.0,MisraGries
78,115,0,115,1.0,MisraGries
81,111,111,0,0.0,CountMinSketch
14,103,103,0,0.0,CountMinSketch
3,87,87,0,0.0,CountMinSketch
94,103,103,0,0.0,CountMinSketch
35,100,100,0,0.0,CountMinSketch
31,98,98,0,0.0,CountMinSketch
28,106,106,0,0.0,CountMinSketch
17,116,116,0,0.0,CountMinSketch
13,107,107,0,0.0,CountMinSketch
86,111,111,0,0.0,CountMinSketch
69,105,105,0,0.0,CountMinSketch
11,114,114,0,0.0,CountMinSketch
75,98,191,93,0.9489795918367347,CountMinSketch
54,90,90,0,0.0,CountMinSketch
4,92,92,0,0.0,CountMinSketch
27,89,89,0,0.0,CountMinSketch
29,87,87,0,0.0,CountMinSketch
64,99,99,0,0.0,CountMinSketch
77,94,94,0,0.0,CountMinSketch
71,103,103,0,0.0,CountMinSketch
25,92,92,0,0.0,CountMinSketch
91,84,84,0,0.0,CountMinSketch
83,105,105,0,0.0,CountMinSketch
89,111,111,0,0.0,CountMinSketch
53,100,100,0,0.0,CountMinSketch
57,105,105,0,0.0,CountMinSketch
0,86,86,0,0.0,CountMinSketch
97,104,104,0,0.0,CountMinSketch
20,96,96,0,0.0,CountMinSketch
43,94,94,0,0.0,CountMinSketch
19,107,107,0,0.0,CountMinSketch
48,111,111,0,0.0,CountMinSketch
12,99,99,0,0.0,CountMinSketch
45,93,93,0,0.0,CountMinSketch
44,96,96,0,0.0,CountMinSketch
33,100,100,0,0.0,CountMinSketch
5,108,108,0,0.0,CountMinSketch
93,102,102,0,0.0,CountMinSketch
58,118,118,0,0.0,CountMinSketch
68,109,109,0,0.0,CountMinSketch
15,93,93,0,0.0,CountMinSketch
10,100,100,0,0.0,CountMinSketch
70,113,113,0,0.0,CountMinSketch
37,98,98,0,0.0,CountMinSketch
80,97,97,0,0.0,CountMinSketch
79,87,87,0,0.0,CountMinSketch
46,102,102,0,0.0,CountMinSketch
73,126,126,0,0.0,CountMinSketch
24,91,91,0,0.0,CountMinSketch
90,103,103,0,0.0,CountMinSketch
8,99,99,0,0.0,CountMinSketch
84,120,120,0,0.0,CountMinSketch
98,116,116,0,0.0,CountMinSketch
47,99,99,0,0.0,CountMinSketch
26,85,85,0,0.0,CountMinSketch
85,92,92,0,0.0,CountMinSketch
34,92,92,0,0.0,CountMinSketch
87,112,112,0,0.0,CountMinSketch
82,111,111,0,0.0,CountMinSketch
9,101,101,0,0.0,CountMinSketch
21,93,93,0,0.0,CountMinSketch
59,89,89,0,0.0,CountMinSketch
88,115,115,0,0.0,CountMinSketch
41,106,106,0,0.0,CountMinSketch
99,103,103,0,0.0,CountMinSketch
7,91,91,0,0.0,CountMinSketch
40,107,107,0,0.0,CountMinSketch
51,92,92,0,0.0,CountMinSketch
72,99,99,0,0.0,CountMinSketch
63,97,97,0,0.0,CountMinSketch
50,96,96,0,0.0,CountMinSketch
18,97,97,0,0.0,CountMinSketch
95,98,98,0,0.0,CountMinSketch
74,91,91,0,0.0,CountMinSketch
65,84,84,0,0.0,CountMinSketch
96,95,95,0,0.0,CountMinSketch
6,103,103,0,0.0,CountMinSketch
76,100,100,0,0.0,CountMinSketch
49,102,102,0,0.0,CountMinSketch
67,96,96,0,0.0,CountMinSketch
32,81,81,0,0.0,CountMinSketch
1,90,90,0,0.0,CountMinSketch
92,99,99,0,0.0,CountMinSketch
55,88,88,0,0.0,CountMinSketch
22,106,106,0,0.0,CountMinSketch
38,115,115,0,0.0,CountMinSketch
62,111,111,0,0.0,CountMinSketch
2,81,81,0,0.0,CountMinSketch
39,92,92,0,0.0,CountMinSketch
30,100,100,0,0.0,CountMinSketch
16,100,100,0,0.0,CountMinSketch
60,115,115,0,0.0,CountMinSketch
56,103,103,0,0.0,CountMinSketch
66,98,98,0,0.0,CountMinSketch
42,96,96,0,0.0,CountMinSketch
52,101,101,0,0.0,CountMinSketch
23,89,89,0,0.0,CountMinSketch
61,93,93,0,0.0,CountMinSketch
36,103,103,0,0.0,CountMinSketch
78,115,115,0,0.0,CountMinSketch
81,111,226,115,1.0360360360360361,CountSketch
14,103,106,3,0.02912621359223301,CountSketch
3,87,87,0,0.0,CountSketch
94,103,103,0,0.0,CountSketch
35,100,1,99,0.99,CountSketch
31,98,98,0,0.0,CountSketch
28,106,90,16,0.1509433962264151,CountSketch
17,116,13,103,0.8879310344827587,CountSketch
13,107,107,0,0.0,CountSketch
86,111,111,0,0.0,CountSketch
69,105,201,96,0.9142857142857143,CountSketch
11,114,212,98,0.8596491228070176,CountSketch
75,98,191,93,0.9489795918367347,CountSketch
54,90,90,0,0.0,CountSketch
4,92,92,0,0.0,CountSketch
27,89,89,0,0.0,CountSketch
29,87,-6,93,1.0689655172413792,CountSketch
64,99,-1,100,1.0101010101010102,CountSketch
77,94,94,0,0.0,CountSketch
71,103,103,0,0.0,CountSketch
25,92,92,0,0.0,CountSketch
91,84,84,0,0.0,CountSketch
83,105,299,194,1.8476190476190477,CountSketch
89,111,111,0,0.0,CountSketch
53,100,0,100,1.0,CountSketch
57,105,105,0,0.0,CountSketch
0,86,86,0,0.0,CountSketch
97,104,104,0,0.0,CountSketch
20,96,96,0,0.0,CountSketch
43,94,94,0,0.0,CountSketch
19,107,107,0,0.0,CountSketch
48,111,211,100,0.9009009009009009,CountSketch
12,99,99,0,0.0,CountSketch
45,93,6,87,0.9354838709677419,CountSketch
44,96,4,92,0.9583333333333334,CountSketch
33,100,0,100,1.0,CountSketch
5,108,108,0,0.0,CountSketch
93,102,102,0,0.0,CountSketch
58,118,106,12,0.1016949152542373,CountSketch
68,109,109,0,0.0,CountSketch
15,93,93,0,0.0,CountSketch
10,100,-15,115,1.15,CountSketch
70,113,16,97,0.8584070796460177,CountSketch
37,98,299,201,2.0510204081632653,CountSketch
80,97,97,0,0.0,CountSketch
79,87,87,0,0.0,CountSketch
46,102,102,0,0.0,CountSketch
73,126,126,0,0.0,CountSketch
24,91,91,0,0.0,CountSketch
90,103,103,0,0.0,CountSketch
8,99,99,0,0.0,CountSketch
84,120,120,0,0.0,CountSketch
98,116,116,0,0.0,CountSketch
47,99,206,107,1.0808080808080809,CountSketch
26,85,90,5,0.058823529411764705,CountSketch
85,92,92,0,0.0,CountSketch
34,92,-4,96,1.0434782608695652,CountSketch
87,112,112,0,0.0,CountSketch
82,111,111,0,0.0,CountSketch
9,101,101,0,0.0,CountSketch
21,93,93,0,0.0,CountSketch
59,89,89,0,0.0,CountSketch
88,115,-106,221,1.9217391304347826,CountSketch
41,106,106,0,0.0,CountSketch
99,103,-13,116,1.1262135922330097,CountSketch
7,91,91,0,0.0,CountSketch
40,107,206,99,0.9252336448598131,CountSketch
51,92,92,0,0.0,CountSketch
72,99,99,0,0.0,CountSketch
63,97,97,0,0.0,CountSketch
50,96,201,105,1.09375,CountSketch
18,97,-16,113,1.1649484536082475,CountSketch
95,98,212,114,1.163265306122449,CountSketch
74,91,-126,217,2.3846153846153846,CountSketch
65,84,84,0,0.0,CountSketch
96,95,95,0,0.0,CountSketch
6,103,103,0,0.0,CountSketch
76,100,211,111,1.11,CountSketch
49,102,126,24,0.23529411764705882,CountSketch
67,96,299,203,2.1145833333333335,CountSketch
32,81,283,202,2.493827160493827,CountSketch
1,90,90,0,0.0,CountSketch
92,99,283,184,1.8585858585858586,CountSketch
55,88,88,0,0.0,CountSketch
22,106,106,0,0.0,CountSketch
38,115,126,11,0.09565217391304348,CountSketch
62,111,111,0,0.0,CountSketch
2,81,81,0,0.0,CountSketch
39,92,92,0,0.0,CountSketch
30,100,100,0,0.0,CountSketch
16,100,100,0,0.0,CountSketch
60,115,15,100,0.8695652173913043,CountSketch
56,103,103,0,0.0,CountSketch
66,98,98,0,0.0,CountSketch
42,96,96,0,0.0,CountSketch
52,101,-90,191,1.891089108910891,CountSketch
23,89,89,0,0.0,CountSketch
61,93,191,98,1.053763440860215,CountSketch
36,103,283,180,1.7475728155339805,CountSketch
78,115,226,111,0.9652173913043478,CountSketch
81,111,111,0,0.0,CountSketchMedian
14,103,103,0,0.0,CountSketchMedian
3,87,87,0,0.0,CountSketchMedian
94,103,103,0,0.0,CountSketchMedian
35,100,100,0,0.0,CountSketchMedian
31,98,98,0,0.0,CountSketchMedian
28,106,106,0,0.0,CountSketchMedian
17,116,116,0,0.0,CountSketchMedian
13,107,107,0,0.0,CountSketchMedian
86,111,111,0,0.0,CountSketchMedian
69,105,105,0,0.0,CountSketchMedian
11,114,114,0,0.0,CountSketchMedian
75,98,197,99,1.010204081632653,CountSketchMedian
54,90,90,0,0.0,CountSketchMedian
4,92,92,0,0.0,CountSketchMedian
27,89,89,0,0.0,CountSketchMedian
29,87,87,0,0.0,CountSketchMedian
64,99,99,0,0.0,CountSketchMedian
77,94,94,0,0.0,CountSketchMedian
71,103,103,0,0.0,CountSketchMedian
25,92,92,0,0.0,CountSketchMedian
91,84,84,0,0.0,CountSketchMedian
83,105,105,0,0.0,CountSketchMedian
89,111,111,0,0.0,CountSketchMedian
53,100,100,0,0.0,CountSketchMedian
57,105,105,0,0.0,CountSketchMedian
0,86,86,0,0.0,CountSketchMedian
97,104,104,0,0.0,CountSketchMedian
20,96,96,0,0.0,CountSketchMedian
43,94,94,0,0.0,CountSketchMedian
19,107,86,21,0.19626168224299065,CountSketchMedian
48,111,211,100,0.9009009009009009,CountSketchMedian
12,99,194,95,0.9595959595959596,CountSketchMedian
45,93,93,0,0.0,CountSketchMedian
44,96,96,0,0.0,CountSketchMedian
33,100,4,96,0.96,CountSketchMedian
5,108,108,0,0.0,CountSketchMedian
93,102,102,0,0.0,CountSketchMedian
58,118,20,98,0.8305084745762712,CountSketchMedian
68,109,109,0,0.0,CountSketchMedian
15,93,93,0,0.0,CountSketchMedian
10,100,100,0,0.0,CountSketchMedian
70,113,113,0,0.0,CountSketchMedian
37,98,107,9,0.09183673469387756,CountSketchMedian
80,97,97,0,0.0,CountSketchMedian
79,87,87,0,0.0,CountSketchMedian
46,102,102,0,0.0,CountSketchMedian
73,126,126,0,0.0,CountSketchMedian
24,91,91,0,0.0,CountSketchMedian
90,103,103,0,0.0,CountSketchMedian
8,99,99,0,0.0,CountSketchMedian
84,120,120,0,0.0,CountSketchMedian
98,116,116,0,0.0,CountSketchMedian
47,99,99,0,0.0,CountSketchMedian
26,85,85,0,0.0,CountSketchMedian
85,92,92,0,0.0,CountSketchMedian
34,92,92,0,0.0,CountSketchMedian
87,112,112,0,0.0,CountSketchMedian
82,111,111,0,0.0,CountSketchMedian
9,101,101,0,0.0,CountSketchMedian
21,93,93,0,0.0,CountSketchMedian
59,89,89,0,0.0,CountSketchMedian
88,115,115,0,0.0,CountSketchMedian
41,106,106,0,0.0,CountSketchMedian
99,103,103,0,0.0,CountSketchMedian
7,91,91,0,0.0,CountSketchMedian
40,107,107,0,0.0,CountSketchMedian
51,92,92,0,0.0,CountSketchMedian
72,99,99,0,0.0,CountSketchMedian
63,97,97,0,0.0,CountSketchMedian
50,96,96,0,0.0,CountSketchMedian
18,97,97,0,0.0,CountSketchMedian
95,98,98,0,0.0,CountSketchMedian
74,91,91,0,0.0,CountSketchMedian
65,84,84,0,0.0,CountSketchMedian
96,95,187,92,0.968421052631579,CountSketchMedian
6,103,22,81,0.7864077669902912,CountSketchMedian
76,100,100,0,0.0,CountSketchMedian
49,102,102,0,0.0,CountSketchMedian
67,96,96,0,0.0,CountSketchMedian
32,81,81,0,0.0,CountSketchMedian
1,90,90,0,0.0,CountSketchMedian
92,99,99,0,0.0,CountSketchMedian
55,88,88,0,0.0,CountSketchMedian
22,106,106,0,0.0,CountSketchMedian
38,115,115,0,0.0,CountSketchMedian
62,111,111,0,0.0,CountSketchMedian
2,81,81,0,0.0,CountSketchMedian
39,92,92,0,0.0,CountSketchMedian
30,100,181,81,0.81,CountSketchMedian
16,100,100,0,0.0,CountSketchMedian
60,115,115,0,0.0,CountSketchMedian
56,103,202,99,0.9611650485436893,CountSketchMedian
66,98,98,0,0.0,CountSketchMedian
42,96,96,0,0.0,CountSketchMedian
52,101,101,0,0.0,CountSketchMedian
23,89,89,0,0.0,CountSketchMedian
61,93,-5,98,1.053763440860215,CountSketchMedian
36,103,103,0,0.0,CountSketchMedian
78,115,220,105,0.9130434782608695,CountSketchMedian
